População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
Parnaíba,Parnaíba,Picos,Parnaíba,São Félix do Piauí,Floriano,Parnaíba
Picos,Oeiras,Parnaíba,Picos,Prata do Piauí,Parnaíba,Picos
Piripiri,Picos,Floriano,Uruçuí,Bocaina,Picos,Floriano
Floriano,Floriano,Campo Maior,Baixa Grande do Ribeiro,Agricolândia,São Raimundo Nonato,São Raimundo Nonato
Barras,São Raimundo Nonato,Piripiri,Água Branca,São João da Serra,Bom Jesus,Oeiras
Campo Maior,Campo Maior,Oeiras,Floriano,Angical do Piauí,Campo Maior,Campo Maior
União,Piripiri,Barras,Piripiri,São João da Canabrava,Oeiras,Piripiri
Altos,Barras,São Raimundo Nonato,Santa Filomena,Francisco Ayres,Esperantina,Bom Jesus
Esperantina,São João do Piauí,Esperantina,Bom Jesus,São Miguel da Baixa Grande,Luzilândia,Esperantina
José de Freitas,Bom Jesus,Altos,Guadalupe,Pajeú do Piauí,Valença do Piauí,Valença do Piauí
