Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
221100,Teresina,Centro Norte Piauiense,Entre Rios,871126,100.0,100.0,80.9,67.2,100.0,89.62
220770,Parnaíba,Norte Piauiense,Planície Litorânea,153863,64.76,24.52,45.62,73.31,18.87,45.42
220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,78627,52.71,32.95,36.69,70.4,15.3,41.61
220390,Floriano,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,60111,53.51,19.35,30.94,73.09,20.85,39.55
221060,São Raimundo Nonato,Sudoeste Piauiense,Serra Da Capivara,35035,49.0,11.0,27.3,72.17,12.37,34.37
220840,Piripiri,Norte Piauiense,Cocais,63829,47.45,15.58,28.21,77.35,1.92,34.1
220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,37138,47.68,13.41,26.19,76.8,3.15,33.45
220220,Campo Maior,Centro Norte Piauiense,Carnaubais,46950,44.95,14.61,27.68,76.69,3.19,33.42
221120,Uruçuí,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,21746,43.21,7.5,42.69,72.82,-0.18,33.21
220190,Bom Jesus,Sudoeste Piauiense,Chapada Das Mangabeiras,25584,46.96,7.15,33.71,68.57,6.94,32.67
220020,Água Branca,Centro Norte Piauiense,Entre Rios,17525,46.68,6.16,31.99,79.44,-1.65,32.52
221130,Valença do Piauí,Centro Norte Piauiense,Vale Do Sambito,20940,43.34,9.18,25.77,81.23,2.14,32.33
220050,Amarante,Centro Norte Piauiense,Entre Rios,17609,46.82,6.81,23.5,81.61,-1.14,31.52
220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,10496,42.86,4.42,34.86,75.11,-0.74,31.3
220120,Barras,Norte Piauiense,Cocais,47298,47.17,11.07,24.64,75.27,-2.29,31.17
221000,São João do Piauí,Sudeste Piauiense,Serra Da Capivara,20720,47.08,6.34,27.76,73.98,0.6,31.15
220370,Esperantina,Norte Piauiense,Cocais,39953,43.5,9.15,25.64,74.3,3.11,31.14
221080,Simplício Mendes,Sudeste Piauiense,Vale Do Canindè,12778,46.68,7.51,25.21,76.38,-0.97,30.96
220790,Pedro II,Centro Norte Piauiense,Cocais,38812,43.52,8.86,23.36,79.8,-1.86,30.74
220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,20583,43.66,8.22,23.91,75.75,1.85,30.68
220290,Corrente,Sudoeste Piauiense,Chapada Das Mangabeiras,26771,43.45,8.98,27.08,73.69,-0.28,30.58
220920,Santa Filomena,Sudoeste Piauiense,Chapada Das Mangabeiras,6256,39.29,2.43,37.26,73.84,-0.4,30.48
220330,Demerval Lobão,Centro Norte Piauiense,Entre Rios,13862,43.21,4.6,26.96,78.16,-0.86,30.41
220230,Canto do Buriti,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,21326,46.67,5.95,22.91,77.99,-2.0,30.3
220580,Luzilândia,Norte Piauiense,Cocais,25521,43.3,6.28,22.45,76.46,2.94,30.29
220115,Baixa Grande do Ribeiro,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,11751,35.71,2.92,44.17,69.34,-0.91,30.25
221070,Simões,Sudeste Piauiense,Vale Do Rio Guaribas,14664,43.24,6.58,24.74,76.47,-0.18,30.17
220320,Curimatá,Sudoeste Piauiense,Chapada Das Mangabeiras,11461,46.73,4.65,23.26,75.81,-0.05,30.08
220040,Altos,Centro Norte Piauiense,Entre Rios,40681,43.19,9.18,26.13,76.14,-4.6,30.01
220180,Bocaina,Sudeste Piauiense,Vale Do Rio Guaribas,4509,35.71,3.91,24.66,85.43,0.35,30.01
220960,São Félix do Piauí,Centro Norte Piauiense,Vale Do Sambito,2923,35.71,3.08,23.1,87.96,-0.25,29.92
221050,São Pedro do Piauí,Centro Norte Piauiense,Entre Rios,14356,43.23,5.79,23.31,78.34,-1.48,29.84
220260,Castelo do Piauí,Centro Norte Piauiense,Carnaubais,19716,39.62,7.34,22.73,81.02,-1.63,29.82
220830,Piracuruca,Norte Piauiense,Cocais,28952,43.43,7.8,23.92,75.39,-1.59,29.79
221040,São Miguel do Tapuio,Centro Norte Piauiense,Carnaubais,17617,43.19,7.19,21.19,78.2,-1.2,29.71
220860,Prata do Piauí,Centro Norte Piauiense,Vale Do Sambito,3149,39.29,2.38,21.63,85.49,-0.28,29.7
220350,Elesbão Veloso,Centro Norte Piauiense,Vale Do Sambito,14550,39.58,4.69,22.67,82.38,-1.39,29.59
220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,11690,43.08,4.49,23.96,76.19,-0.12,29.52
220720,Padre Marcos,Sudeste Piauiense,Vale Do Rio Guaribas,6879,43.25,4.06,21.84,78.47,-0.55,29.41
220890,Ribeiro Gonçalves,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,7408,35.71,3.35,35.12,72.99,-0.26,29.38
