Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220770,Parnaíba,Norte Piauiense,Planície Litorânea,153863,92.81,76.81,78.57,73.31,90.48,82.4
220800,Picos,Sudeste Piauiense,Vale Do Rio Guaribas,78627,66.25,94.86,53.29,70.4,73.36,71.63
220390,Floriano,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,60111,59.81,53.84,41.22,73.09,100.0,65.59
221060,São Raimundo Nonato,Sudoeste Piauiense,Serra Da Capivara,35035,51.78,29.1,34.02,72.17,59.34,49.28
220700,Oeiras,Sudeste Piauiense,Vale Do Canindè,37138,69.83,36.88,33.11,76.8,15.13,46.35
220220,Campo Maior,Centro Norte Piauiense,Carnaubais,46950,50.0,41.55,36.41,76.69,15.28,43.99
220840,Piripiri,Norte Piauiense,Cocais,63829,49.56,41.21,39.69,77.35,9.23,43.41
220190,Bom Jesus,Sudoeste Piauiense,Chapada Das Mangabeiras,25584,47.61,18.71,38.88,68.57,33.28,41.41
220370,Esperantina,Norte Piauiense,Cocais,39953,44.9,24.87,33.78,74.3,14.91,38.55
221130,Valença do Piauí,Centro Norte Piauiense,Vale Do Sambito,20940,43.86,22.06,30.63,81.23,10.26,37.61
221120,Uruçuí,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,21746,43.59,18.81,47.21,72.82,-0.89,36.31
220580,Luzilândia,Norte Piauiense,Cocais,25521,43.77,16.59,28.31,76.46,14.1,35.85
220780,Paulistana,Sudeste Piauiense,Vale Do Rio Guaribas,20583,44.64,20.39,28.44,75.75,8.86,35.62
220120,Barras,Norte Piauiense,Cocais,47298,48.12,30.51,33.25,75.27,-11.0,35.23
220020,Água Branca,Centro Norte Piauiense,Entre Rios,17525,46.96,13.94,41.31,79.44,-7.9,34.75
221000,São João do Piauí,Sudeste Piauiense,Serra Da Capivara,20720,47.78,16.22,32.51,73.98,2.88,34.67
220290,Corrente,Sudoeste Piauiense,Chapada Das Mangabeiras,26771,44.1,22.2,32.49,73.69,-1.33,34.23
220790,Pedro II,Centro Norte Piauiense,Cocais,38812,44.97,23.62,30.73,79.8,-8.93,34.04
220050,Amarante,Centro Norte Piauiense,Entre Rios,17609,47.25,17.37,27.78,81.61,-5.46,33.71
221080,Simplício Mendes,Sudeste Piauiense,Vale Do Canindè,12778,46.96,16.97,28.73,76.38,-4.65,32.88
221070,Simões,Sudeste Piauiense,Vale Do Rio Guaribas,14664,43.66,14.85,28.52,76.47,-0.89,32.52
220450,Guadalupe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,10496,42.86,9.77,38.16,75.11,-3.54,32.47
